repoID,token,repoName,description,language
0,NatalieNunez,c0321-code-solutions,,JavaScript
1,NatalieNunez,code-journal,"A dynamic HTML, CSS, and JavaScript journal application for coders who want to capture their notes.",JavaScript
2,NatalieNunez,CodeSignal,,TypeScript
3,NatalieNunez,crackin-jokes,"A dynamic HTML, CSS, and JavaScript solo project",JavaScript
4,NatalieNunez,edabit,,JavaScript
5,NatalieNunez,JSPractice,,
6,NatalieNunez,meme-gallery,"An interactive HTML, CSS, and JavaScript app",JavaScript
7,NatalieNunez,modern-javascript-2020,,HTML
8,NatalieNunez,NatalieNunez,My personal repository,
9,NatalieNunez,our-day-wedding-planner,Full-stack web application built in React and Node.js,JavaScript
10,NatalieNunez,portfolio,An HTML and CSS app to showcase my work,HTML
11,NatalieNunez,prep-0221-code-solutions,,HTML
12,NatalieNunez,todo-list-ts,A to-do list made with TypeScript,JavaScript
13,NatalieNunez,typescript-practice,typescript practice problems,JavaScript
14,tkhaxton,MF-CG-TOID-MC,Simulation software for the Molecular Foundry Coarse-grained Model for Peptoids.,C
15,tkhaxton,MF-CG-TOID-MC_2.0,,C
16,tkhaxton,node-pngjs,Simple PNG encoder/decoder,JavaScript
17,tkhaxton,osrm-backend,Project OSRM: C++ backend,C++
18,tkhaxton,P-MOST-PDB,Creates optimal mapping functions for an oriented coarse-grained protein model using data from the Protein Data Bank.,C
19,tkhaxton,P-MOST-PDB-Python-MySQL,Creates optimal mapping functions for an oriented coarse-grained protein model using data from the Protein Data Bank.,Python
20,tkhaxton,pngjs,Pure JavaScript PNG decoder,JavaScript
21,tkhaxton,Radar_Brain-backend,"Creates, trains, and tests an artificial neural network that makes near-term rain forecasts.",C++
22,tkhaxton,Radar_Brain-frontend,Source code for web application (radarbrain.com) that predicts the near-term rain forecast using machine learning.,JavaScript
23,zhengweifz,dm_insurance_claim,,Jupyter Notebook
24,zhengweifz,forest_gdp,,Jupyter Notebook
25,zhengweifz,gwu_course_web_scrapping,,Python
26,zhengweifz,istm-6212,,Jupyter Notebook
27,zhengweifz,kaggle_digit,,Python
28,zhengweifz,kaggle_sf_crime,,Jupyter Notebook
29,zhengweifz,LP_Pymongo,,Python
30,zhengweifz,mds_assignment,,Jupyter Notebook
31,zhengweifz,merge-conflicts,,HTML
32,zhengweifz,nih_collaboration_network,,Jupyter Notebook
33,zhengweifz,rxts,learning rxjs with typescript,TypeScript
34,zhengweifz,unemployment_by_state,,Jupyter Notebook
35,zhengweifz,wb_data_cluster,,Python
36,zhengweifz,yelp_review_webscrapping,,Python
37,zhengweifz,zhengweifz.github.io,,JavaScript
38,kewalkothari,aakash-patel-portfolio,Aakash Patel's Portfolio,HTML
39,kewalkothari,cs-50,,C
40,kewalkothari,economic-indicators,Displays economic indicators of India,JavaScript
41,kewalkothari,govocal4local,,JavaScript
42,kewalkothari,live-stock-media-net,An assignment on live stock update consuming a mock web socket server,JavaScript
43,kewalkothari,ml-algorithm-collections,Self implemented ML algorithms,Java
44,kewalkothari,product-directory,,JavaScript
45,kewalkothari,react-select,The Select Component for React.js,
46,kewalkothari,snakes-and-ladder,Snakes and ladder game,JavaScript
47,kewalkothari,SwiftWeatherApp,,Swift
48,nickweimer,dataset-explorer-example-function-for-import,Python function used as an example to show importing homemade packages,Python
49,nickweimer,dbt-snowflake-tutorial,https://courses.getdbt.com/courses/fundamentals,
