skillID,skill
0,Data Analysis
1, Research
2, High Performance Computing
3, Statistical Modeling
4, Scientific Writing
5, Programming
6, Machine Learning
7, Mathematical Modeling
8, Data Mining
9, C
10, C++
11, Python
12, Sql
13, Teaching
14, Predictive Analytics
15, Algorithm Design
16, Html / Php / Css
17, Javascript / Jquery
18, Database Design
19, Business Analysis
20, Statistics
21, Forecasting
22, Tableau
23, Mongodb
24, Git
25, Pyspark
26, Hadoop
27, Aws
28, Microsoft Sql Server
29, Nlp
30, Hypothesis Testing
31, A/B Testing
32, Predictive Modeling
33,Computer Science
34, Java
35, Big Data
36, Baking
37, Video Production
38, Scala
39, Html
40, Ruby On Rails
41, Css
42, Matlab
43, Ruby
44, Spark
45, Ocaml
46, Pthreads
47, Openmp
48, Mips
49, Green Marl
50,Management
51, Data Science
52, Analytics
53, Data Analysis
54, Business Intelligence
55, Cloud Computing
56, Product Development
57, Patents
58, Strategy
59, Start-Ups
60, Competitive Analysis
61, Etl
62, Business Development
63, Data Warehousing
64, Pandas
65, Amazon Web Services (Aws)
66, Google Cloud Platform (Gcp)
67, R
68, Software As A Service (Saas)
69, Leadership
70, Public Speaking
71, Cross-Functional Team Leadership
72, Presentation Skills
73, Talent Management
74, Data Analytics
75, Bayesian Statistics
76, Numpy
77, Scipy
78, Bokeh
79,Python (Programming Language)
80, Deep Learning
81, Artificial Intelligence (Ai)
82, Software Development
83, Web Development
84, Data Structures
85, Statistical Data Analysis
86, Unity
87, Microsoft Office
88, Team Foundation Server
89, Github
90, Java Database Connectivity (Jdbc)
91, Artificial Neural Networks
92, Database Management System (Dbms)
93,Leadership
94, Presentations
95, Teamwork
96, Reliability
97, Computer Science
98, Ios Development
99, Signal Processing
100, Software Engineering
101, Algorithms
102, React.Js
103, Php
104, Swift
105, Javascript
106, Microsoft Excel
107, Amazon S3
108, Aws Elastic Beanstalk
109, Postgresql
110, Latex
111, Time Management
112, French
113, Turkish
114, English
115, Quantative Analysis
116, Regression Analysis
117, Audio Processing
118, Fourier Analysis
119, Logistic Regression
120, Linear Regression
121, 5G
122, Software Engineering Practices
123, Calculus
124, Probability
125, Google Sheets
126, Amazon Ec2
127, Typescript
128, Hard-Working
129, Enthusiasm
130, Efficiency
131, Fourier Transform
132, Physics
133, Monte Carlo Simulation
134, C/C++
135, Linux
136, Arcgis
137, Tensorflow
138, Geant4
139, Semiconductor Device Process
140, R Programming
141, Github/Git
142,Data Science
143, Python (Programming Language)
144, Data Visualization
145, Pandas (Software)
146, Flask
147, Statsmodels
148, Seaborn
149, Docker
150, Matplotlib
151, Apache Spark
152, Neural Networks
153, Random Forest
154, Gradient Boosting
155, Supervised Learning
156, Unsupervised Learning
157, Scikit-Learn
158, Classification
159, Koalas
160, Clustering
161,Python
162, Mapreduce
163, Search Engine Technology
164,Microsoft Word
165, Quantitative Research
166, Analysis
167, Powerpoint
168, Spss
169, Customer Service
170, Qualitative Research
171, Excel Dashboards
172, Natural Language Processing (Nlp)
173, Data Modeling
174, Interpreting
175, Multilingual
176, Keras
177, Anaconda
178, Blockchain
179, Solidity
180, Ethereum
181, R (Programming Language)
182, Microsoft Powerpoint
183, Communication
184, Mandarin
185, Machine Learning Algorithms
186, Cryptography
187, Cryptocurrency
188, Blockchain Analysis
189, Interpretation
190, Natural Language Processing
191,Machine Learning
192, Image Processing
193, Electronics
194, Computer Vision
195, Microcontrollers
196, Audio Engineering
197, Virtualization
198, Mysql
199, Aws Sagemaker
200, Vhdl
201, Pytorch
202, Sqlite
203, Relational Databases
204, C (Programming Language)
205, Digital Signal Processing
206, Smote
207, Scilab
208, Gnu Octave
209, Stock Market Analysis
210, Linear Algebra
211, Stochastic Processes
212, Microprocessors
213, Numerical Linear Algebra
214, Optimal Control
215, Opencv
216, Convolutional Neural Networks (Cnn)
217, Vmware Fusion
218, Vmware Workstation
219, Devops
220, Gluoncv
221, Apache Mxnet
222, Vim
223, Market Analysis
224, Chinese
225, Spark Sql
226, Analytical Skills
227, Logistics Management
228, Quantitative Analytics
229, Windows
230, Microsoft Word
231, Team Leadership
232, Eda
233, Panda
234,Microsoft Office
235, Marketing
236, Project Management
237, Customer Relationship Management (Crm)
238, R Programing
239, Photoshop
240, Snowflake
241, Predictive Maintenance
242, Regression
243, Management Consulting
244, Strategic Planning
245, Risk Analysis
246, Underwriting
247, Market Research
248, Spreadsheet Modeling
249, Product Management
250, Insurance
251, Investment Strategies
252, Econometrics
253, Program Evaluation
254, Management Science
255, Product Management Skills
256, Automl
257, Sas
258, Geographic Information Systems (Gis)
259, Stata
260, Team Management
261, Decision Analytics
262, Stochastic Optimization
263, Automated Machne Learning
264,R
265, Ggplot
266, Fda
267, Quality System
268, Medical Devices
269, Root Cause Analysis
270, Six Sigma
271, Biomedical Engineering
272, Fmea
273, Corrective And Preventive Action (Capa)
274, Looker (Software)
275, H2O.Ai
276, Google Bigquery
277, Vba
278, Solidworks
279, Qlikview
280, Problem Solving
281, Process Improvement
282, Digital Marketing
283, Google Data Studio
284, Data Scraping
285, Product Analysis
286, Web Scraping
287, Fraud Prevention
288, Recommender System
289, Chemistry
290, Chemical Engineering
291, Laboratory
292, Mathematics
293, Research And Development (R&D)
294, Aspen Plus
295, Galaxy
296, Genetic
297, Relational Database
298, Statistical Inference
299, Time Series Analysis
300, K-Means Clustering
301, Exploratory Data Analysis
302, Data Wrangling
303, 머신러닝
304, Higher Education
305,Sql
306, Information Management
307, Information Systems Strategy
308, Information Systems
309, Sas Programming
310, Web Analytics
311, D3.Js
312, Databases
313, Ssis
314, C#
315, Cloudera Impala
316, Vb.Net
317, Unix
318, Visio
319, Eclipse
320, Nosql
321, Lookml
322, Data Cubes
323, Hive
324, Apache Pig
325,Machine Learning Algorithms
326, Marketing Strategy
327, Agile Methodologies
328, Cascading Style Sheets (Css)
329, Html5
330, Management
331, Internet Of Things (Iot)
332, Image Recognition
333, Big Data Analytics
334, Image Segmentation
335, Object Detection
336, Yolo V3
337, Electrical Engineering
338, Embedded Systems
339, Verilog
340,Statistics
341, Science
342, Experimental Design
343, Neuroscience
344, Research Design
345, Adobe Illustrator
346, Tidyverse
347, Clojure
348, Regression Models
349, Cognitive Neuroscience
350, Experimental Psychology
351, Music Cognition
352, Psychophysics
353, Cognitive Psychology
354, Mixed-Effects Models
355, Motion Capture
356, Maxmsp
357, Data Cleaning
358, People Analytics
359, Human Behavior
360, Bayesian Inference
361, Causal Inference
362, Information Retrieval
363, Business Intelligence (Bi)
364, Extract
365, Transform
366, Load (Etl)
367, Text Mining
368, Neo4J
369, Android Development
370, Databricks
371, Objective-C
372, Xcode
373, Android
374, Oracle Sql Developer
375, Docker Products
376, Sparql
377, Triple Store
378, Android Studio
379,Business Analytics
380, Key Performance Indicators
381, Organization Skills
382, Qualitative & Quantitative Research Methodologies
383, Operational Strategy
384, Elastic Stack (Elk)
385, Hbase
386, Elasticsearch
387, Kibana
388, Natural Language Processing Toolkit
389, Heroku
390, Security
391, Operating Systems
392,Ruby On Rails
393, Version Control
394, Ux
395, Scrum
396, Web Applications
397, User Interface Design
398, Web Design
399, Front-End Development
400, Sass
401, Jquery
402, Git Flow
403, Visual Studio
404, Node
405, Spanish
406, Italian
407, Front-End Design
408, Atom
409, Sourcetree
410, Atom Text Editor
411, Codekit
412, Networking
413, Mvc
414, Back-End Web Development
415,Java
416, Critical Thinking
417,Account Management
418, Customer Product Training
419, Office Management
420, B2B Sales
421, Solution Selling
422, Technology Sales
423, Hierarchical Clustering
424, Business Analytics
425, Jupyter
426, Jinja
427, Customer Support
428, Training
429, Question Based Selling
430, Customer Service Training
431, Statistical Analysis
432, Data Manipulation
433, Strategic Data Analysis
434, Dbt
435, Community Outreach
436, Social Media
437, Recurrent Neural Networks (Rnn)
438, Oracle Database
439, Kaggle
440, Team Building
441, Interpersonal Skills
442, Punjabi
443, Data Classification
444, Object-Oriented Programming (Oop)
445, Xgboost
446, Database Development
447, Statsmodel
448, Word2Vec
449,Artificial Intelligence (Ai)
450, Business Management
